DATE,HIGH,LOW
2015-09-20,46.5285549758,44.2084435792
2015-09-21,47.4144061867,44.8459859811
2015-09-22,46.8479398479,45.7656222513
2015-09-23,47.7572207279,44.2304751449
2015-09-24,44.2311797488,42.9315557067
2015-09-27,46.1201867214,44.5797829448
2015-09-28,44.4787871202,43.8971867482
2015-09-29,44.7845989551,44.6413576915
2015-09-30,45.3140974761,44.5473022898
2015-10-01,47.3040130963,44.9682706136
2015-10-04,45.2609133482,43.2805374611
2015-10-05,47.6723878426,45.7062156415
2015-10-06,51.6180225225,46.7490786054
2015-10-07,52.6909736676,50.6052420203
2015-10-08,53.4405669228,50.3489049262
2015-10-11,51.3968988392,49.7972879686
2015-10-13,48.4881803513,46.5099522978
2015-10-14,46.6539578361,45.8596552693
2015-10-15,46.6467258802,44.8847426505
2015-10-19,47.3466760595,45.741465384
2015-10-20,46.2128050582,44.7625108797
2015-10-21,45.741161148,44.3492478473
2015-10-22,45.5385480688,44.5247349289
2015-10-26,44.3342925958,43.1244155736
2015-10-27,43.2128244741,42.066479716
2015-10-28,46.0378788721,42.890201684
2015-10-29,46.7726059886,45.1319255956
2015-11-01,47.0528045052,45.5128013838
2015-11-02,46.7534379828,45.5986665562
2015-11-03,48.5987461614,46.0609594511
2015-11-04,49.2195643629,46.3321930891
2015-11-05,47.1065089544,45.124536224
2015-11-08,45.7305960055,44.1985572353
2015-11-09,45.1072946305,43.6231040555
2015-11-10,44.6927467378,43.5465421956
2015-11-11,43.9546217529,42.4609015128
2015-11-12,43.0773996246,41.2502401799
2015-11-15,41.742622704,39.7959077488
2015-11-16,41.8559413425,39.6074716743
2015-11-17,41.6626879811,40.2294907825
2015-11-18,41.1704707605,39.5119057127
2015-11-19,40.6546000834,39.4036625775
2015-11-22,40.6327417579,38.3583569235
2015-11-23,42.4433333417,40.0100540598
2015-11-24,43.3090340978,41.7712500661
2015-11-25,43.0617562426,41.6150238253
2015-11-26,43.3603275848,42.5043488424
2015-11-29,43.3603275848,41.5767075653
2015-11-30,42.5775564825,41.5171565451
2015-12-01,42.5569540717,41.1539841721
2015-12-02,41.7584430397,39.8358643193
2015-12-03,41.5723008904,40.1654494694
2015-12-06,42.1015342253,39.4929059706
2015-12-07,39.8918408598,37.1480387683
2015-12-08,38.0642884362,36.0918706668
2015-12-09,38.6369746584,36.4612360616
2015-12-10,37.0340396753,35.9615893462
2015-12-13,36.3014751591,34.6260478528
2015-12-14,36.1989265363,33.9740818739
2015-12-15,37.3181728939,35.4617897076
2015-12-16,36.7547661172,34.8573927048
2015-12-17,35.0917023401,34.1148486374
2015-12-20,34.9452046451,33.7138518972
2015-12-21,34.5575656975,33.4519266376
2015-12-22,36.2333971721,35.5042424
2015-12-23,37.9267469655,36.3245318503
2015-12-24,38.3819130217,37.6167592943
2015-12-28,38.1280715877,36.8230488336
2015-12-29,37.9609355732,36.7609438872
2015-12-30,37.3552714412,36.4785211699
2015-12-31,38.0639842818,36.434577936
2016-01-04,38.4400481062,36.6108068719
2016-01-05,37.2903729154,35.874192461
2016-01-06,36.4694637894,33.5430770122
2016-01-07,34.013414232,31.6405433995
2016-01-10,34.0370361235,32.3396788038
2016-01-11,32.8039384586,30.4033738659
2016-01-12,31.731299533,29.4037522466
2016-01-13,31.2196458062,29.6390893624
2016-01-14,31.3337652007,29.8719683919
2016-01-17,30.759374903,28.6640512369
2016-01-18,29.3185004459,27.872823629
2016-01-19,29.7179016955,27.7124304667
2016-01-20,28.0127625889,25.6035597852
2016-01-21,29.6897245785,27.2209395236
2016-01-24,32.160595265,29.2409374125
2016-01-25,32.5867589323,29.4815153769
2016-01-26,32.2321913313,29.0104737768
2016-01-27,32.8766055194,30.0785136826
2016-01-28,34.9716524424,31.9149188945
2016-01-31,34.6412399726,32.9542228443
2016-02-01,34.3716339446,31.3650346215
2016-02-02,31.3702900078,29.8799492428
2016-02-03,32.9767152786,29.6385758676
2016-02-04,34.0609239223,32.0592086334
2016-02-07,32.6464936289,30.941274194
2016-02-08,30.7551277536,29.8210571702
2016-02-10,28.9683039799,27.0283797472
2016-02-11,27.0360597384,25.7424889894
2016-02-14,29.4885918748,26.7593358714
2016-02-15,30.0386589389,29.0503302131
2016-02-16,31.3142074156,28.7625091163
2016-02-17,31.3290746955,28.5323534181
2016-02-18,32.0986349081,30.4294283249
2016-02-21,30.5111799444,28.9520687669
2016-02-22,32.0539943531,29.4537450088
2016-02-23,33.7429067404,31.466148364
2016-02-24,32.4321642483,30.6708332028
2016-02-25,33.6664431335,31.2669915656
2016-02-28,35.0522925722,32.9789838692
2016-02-29,34.5003245629,32.5942386834
2016-03-01,35.0119211493,33.7333929757
2016-03-02,35.463506364,33.9040887434
2016-03-03,35.6046730653,34.5802310862
2016-03-06,36.7764070439,34.7798150326
2016-03-07,38.8907259402,36.8174092246
2016-03-08,39.0835458317,36.8223384358
2016-03-09,39.2579622535,36.673917734
2016-03-10,38.9642182374,37.7723323277
2016-03-13,39.3991633582,38.4561870936
2016-03-14,38.9315152625,36.601355736
2016-03-15,37.0256214509,36.4299183499
2016-03-16,38.5866697636,37.1317028677
2016-03-17,40.6692540916,39.202628787
2016-03-20,41.7178002446,39.6627085983
2016-03-21,40.5823842946,39.2440919082
2016-03-22,42.2975661607,41.4292902678
2016-03-23,41.6507938483,40.0918803503
2016-03-24,40.187044341,38.8243470853
2016-03-29,39.8380481397,38.2946978576
2016-03-30,40.2086147777,37.682512407
2016-03-31,38.8349832851,37.0608011637
2016-04-03,38.2950354895,36.2461317292
2016-04-04,36.6739366171,35.4744802132
2016-04-05,36.0113751559,35.222072951
2016-04-06,37.5657302061,36.1001560786
2016-04-07,38.153082064,36.4998533462
2016-04-10,40.0737089685,37.5204580656
2016-04-11,41.1658143952,39.1715934372
2016-04-12,42.9227746985,40.0966243508
2016-04-13,43.0976043247,41.357242874
2016-04-14,42.6763833375,41.3773112509
