DATE,HIGH,LOW
2015-09-20,48.7159127829,43.8054441427
2015-09-21,46.3862524241,44.1404037534
2015-09-22,45.7340001356,44.9726656763
2015-09-23,46.8169206334,43.8799364253
2015-09-24,43.7257729916,42.9373335362
2015-09-27,46.0907292884,45.1368927137
2015-09-28,44.7197555541,43.9528485129
2015-09-29,45.7989727527,44.25895663
2015-09-30,46.0457701048,44.9231557266
2015-10-01,48.3718408635,44.5927981756
2015-10-04,45.5431892647,43.3518566729
2015-10-05,47.0157346001,45.8840002642
2015-10-06,51.1870766027,46.6957843102
2015-10-07,52.0069596952,50.2009746921
2015-10-08,53.7346382115,48.7345196473
2015-10-11,52.0275557586,50.3964322548
2015-10-13,47.8219291641,45.9476998868
2015-10-14,46.0006445621,45.3477974127
2015-10-15,45.8723679577,44.1513117962
2015-10-19,47.2011569722,45.5576013716
2015-10-20,45.9874317505,45.3838059599
2015-10-21,45.5683065472,44.8120847328
2015-10-22,46.1980790455,44.9745003882
2015-10-26,44.7440783576,43.4529941981
2015-10-27,43.5084192231,41.842343138
2015-10-28,46.607261429,42.5848714422
2015-10-29,47.3514047941,45.6042650457
2015-11-01,47.5283154804,45.9371949974
2015-11-02,47.4679311017,45.9317129724
2015-11-03,49.0198717786,46.3650865803
2015-11-04,48.4636091163,46.8238205205
2015-11-05,46.6374094524,45.1900097764
2015-11-08,45.2295827973,43.8397611161
2015-11-09,44.6789990461,43.2872384544
2015-11-10,44.3097777562,43.2434815001
2015-11-11,43.587359028,42.1591579517
2015-11-12,42.7375826113,40.9608448925
2015-11-15,41.1935312213,39.5121293458
2015-11-16,41.4459844051,39.2646209729
2015-11-17,41.2776008478,39.9451879045
2015-11-18,40.8841450894,39.2405453609
2015-11-19,40.4049495851,40.2583460094
2015-11-22,40.4549285853,38.8033880985
2015-11-23,42.7716507108,40.2345720425
2015-11-24,43.6670892383,42.0767932051
2015-11-25,43.3649545002,41.8844118046
2015-11-26,43.7325279217,43.0286817414
2015-11-29,43.7325279217,41.8267064322
2015-11-30,42.6707316473,41.9602182969
2015-12-01,42.1496236234,41.6091613506
2015-12-02,41.976676255,39.2930517735
2015-12-03,41.7608099492,39.7383069408
2015-12-06,41.5728828672,38.8813716708
2015-12-07,39.3985686221,37.0013684975
2015-12-08,37.4730799791,35.6113495228
2015-12-09,38.2747600127,36.019093658
2015-12-10,36.8415217599,35.5696059153
2015-12-13,36.1023495647,34.2826080099
2015-12-14,35.9806109273,33.6969197145
2015-12-15,37.7702852975,35.8139286379
2015-12-16,37.1205538516,35.8895145357
2015-12-17,35.4576832373,34.7990947495
2015-12-20,35.1348990042,34.1567719031
2015-12-21,34.0737132462,33.8533575134
2015-12-22,36.7062231742,35.9581875179
2015-12-23,38.6124056264,36.8635703773
2015-12-24,39.1867459241,38.6516568177
2015-12-28,38.6166926564,37.2173630921
2015-12-29,38.4798652124,36.9465551819
2015-12-30,37.6415086921,36.473182222
2015-12-31,37.824413522,36.2025854063
2016-01-04,38.6357039369,36.0351564995
2016-01-05,36.9797874358,35.5187440868
2016-01-06,36.0942035303,32.8208167633
2016-01-07,33.4543318289,30.8286342206
2016-01-10,33.4204825418,31.9275335752
2016-01-11,32.1780654766,29.8387693332
2016-01-12,31.2264015281,28.9406876915
2016-01-13,31.0382329624,29.3791622994
2016-01-14,31.1450882675,29.8133758767
2016-01-17,30.3777142799,28.5365547819
2016-01-18,29.2182349791,27.7603977017
2016-01-19,29.559583479,27.5861946645
2016-01-20,27.8033323901,25.0879264238
2016-01-21,30.2921861684,27.7432743804
2016-01-24,32.7872412193,30.1024798458
2016-01-25,32.9144604689,30.3806907451
2016-01-26,32.5080213855,29.6975330389
2016-01-27,33.5372372771,30.8903434415
2016-01-28,35.3413953976,32.8255238786
2016-01-31,35.1214572595,33.6808092942
2016-02-01,34.6774183193,31.8076505332
2016-02-02,31.5805285632,29.448212863
2016-02-03,32.2312497624,29.2114060946
2016-02-04,33.533373382,31.3941542425
2016-02-07,31.9595449398,30.2141035797
2016-02-08,31.3024045348,29.431058319
2016-02-10,28.5643303679,26.4506787008
2016-02-11,26.4623799435,25.0145365657
2016-02-14,29.2254425771,26.654756088
2016-02-15,30.0062035377,28.6127743227
2016-02-16,31.9162066206,28.3038289578
2016-02-17,32.0677091115,29.2664162297
2016-02-18,33.1969385153,31.5344140794
2016-02-21,31.0158010026,29.5468603302
2016-02-22,32.8103584629,30.0374696448
2016-02-23,34.5580887447,31.6665077027
2016-02-24,32.978903997,31.1574147812
2016-02-25,34.242998169,31.3411849396
2016-02-28,35.1253071828,33.036728923
2016-02-29,34.2116902211,32.8086206438
2016-03-01,35.4768714185,33.9656740133
