date,short position,long position,net position,short pnl,long pnl,short return,long return
2016-01-05 16:55:00,0,10,10,0.0,0.0,0.0,0.0
2016-01-06 16:55:00,0,60,60,0.0,0.0,0.0,0.0
2016-01-07 16:55:00,0,100,100,0.0,0.0,0.0,0.0
2016-01-08 16:55:00,0,100,100,0.0,0.0,0.0,0.0
2016-01-11 16:55:00,0,210,210,0.0,0.0,0.0,0.0
2016-01-12 16:55:00,0,280,280,0.0,0.0,0.0,0.0
2016-01-13 16:55:00,0,280,280,0.0,0.0,0.0,0.0
2016-01-14 16:55:00,0,280,280,0.0,0.0,0.0,0.0
2016-01-15 16:55:00,0,280,280,0.0,0.0,0.0,0.0
2016-01-18 12:55:00,0,360,360,0.0,0.0,0.0,0.0
2016-01-19 16:55:00,0,360,360,0.0,0.0,0.0,0.0
2016-01-20 16:55:00,0,550,550,0.0,0.0,0.0,0.0
2016-01-21 16:55:00,0,550,550,0.0,0.0,0.0,0.0
2016-01-22 16:55:00,0,0,0,0.0,495.58008225,0.0,0.16519336075
2016-01-25 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-01-26 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-01-27 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-01-28 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-01-29 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-01 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-02 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-03 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-04 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-05 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-08 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-09 16:55:00,0,20,20,0.0,8.322982314,0.0,0.002774327438
2016-02-10 16:55:00,0,10,10,0.0,41.74658748,0.0,0.01391552916
2016-02-11 16:55:00,0,30,30,0.0,0.0,0.0,0.0
2016-02-12 16:55:00,0,0,0,0.0,24.01474503,0.0,0.00800491501
2016-02-15 12:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-16 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-17 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-18 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-19 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-22 14:25:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-23 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-24 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-25 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-26 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-29 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-01 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-02 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-03 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-04 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-07 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-08 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-09 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-10 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-11 16:55:00,-10,0,-10,0.0,0.0,0.0,0.0
2016-03-14 16:55:00,0,0,0,11.590711284,0.0,0.003863570428,0.0
2016-03-15 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-16 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-17 16:55:00,-30,0,-30,0.0,0.0,0.0,0.0
2016-03-18 16:55:00,-60,0,-60,0.0,0.0,0.0,0.0
2016-03-21 14:25:00,0,0,0,72.336841458,0.0,0.024112280486,0.0
2016-03-22 16:55:00,-20,0,-20,0.0,0.0,0.0,0.0
2016-03-23 16:55:00,0,0,0,24.913193802,0.0,0.008304397934,0.0
2016-03-24 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-28 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-29 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-30 16:55:00,0,0,0,0.0,0.0,0.0,0.0
