Date,high price,low price,target low level 1,target low level 2,target low level 3,target low level 4,target low level 5,target low level 6,target low level 7,order size,accumulated short position,long exit price
2016-01-21 18:00:00,29.99,29.81,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:05:00,29.95,29.71,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:10:00,29.77,29.74,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:15:00,29.77,29.69,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:20:00,29.73,29.67,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:25:00,29.8,29.73,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:30:00,29.79,29.73,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:35:00,29.76,29.72,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:40:00,29.81,29.73,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:45:00,29.83,29.76,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:50:00,29.8,29.77,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 18:55:00,29.91,29.79,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:00:00,29.97,29.83,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:05:00,29.92,29.86,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:10:00,29.9,29.67,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:15:00,29.75,29.67,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:20:00,29.85,29.69,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:25:00,29.8,29.72,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:30:00,29.85,29.77,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:35:00,29.87,29.81,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:40:00,29.9,29.82,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:45:00,29.9,29.85,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:50:00,29.87,29.81,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 19:55:00,29.88,29.79,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:00:00,29.96,29.83,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:05:00,29.88,29.82,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:10:00,29.86,29.8,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:15:00,29.86,29.8,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:20:00,29.85,29.75,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:25:00,29.8,29.74,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:30:00,29.82,29.75,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:35:00,29.77,29.69,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:40:00,29.74,29.68,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:45:00,29.74,29.72,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:50:00,29.74,29.66,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 20:55:00,29.71,29.63,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:00:00,29.73,29.67,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:05:00,29.72,29.7,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:10:00,29.75,29.71,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:15:00,29.76,29.73,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:20:00,29.79,29.74,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:25:00,29.76,29.71,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:30:00,29.73,29.7,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:35:00,29.71,29.64,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:40:00,29.69,29.66,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:45:00,29.68,29.64,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:50:00,29.74,29.67,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 21:55:00,29.76,29.7,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:00:00,29.73,29.65,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:05:00,29.68,29.59,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:10:00,29.61,29.56,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:15:00,29.61,29.57,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:20:00,29.66,29.6,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:25:00,29.63,29.57,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:30:00,29.59,29.56,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:35:00,29.6,29.53,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:40:00,29.57,29.54,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:45:00,29.58,29.54,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:50:00,29.59,29.56,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 22:55:00,29.63,29.58,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:00:00,29.65,29.61,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:05:00,29.64,29.62,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:10:00,29.65,29.63,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:15:00,29.64,29.62,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:20:00,29.74,29.62,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:25:00,29.74,29.7,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:30:00,29.74,29.72,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:35:00,29.74,29.71,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:40:00,29.74,29.72,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:45:00,29.73,29.69,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:50:00,29.81,29.72,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-21 23:55:00,29.98,29.81,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:00:00,29.95,29.87,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:05:00,29.91,29.84,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:10:00,29.93,29.88,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:15:00,30.18,29.91,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:20:00,30.23,30.08,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:25:00,30.2,30.07,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:30:00,30.52,30.1,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:35:00,30.47,30.33,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:40:00,30.44,30.29,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:45:00,30.55,30.4,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:50:00,30.74,30.44,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 00:55:00,30.78,30.7,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:00:00,30.82,30.67,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:05:00,30.74,30.66,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:10:00,30.84,30.7,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:15:00,31.04,30.8,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:20:00,30.96,30.81,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:25:00,30.91,30.64,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:30:00,30.73,30.63,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:35:00,30.75,30.63,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:40:00,30.72,30.65,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:45:00,30.88,30.67,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:50:00,30.89,30.78,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 01:55:00,30.9,30.78,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 02:00:00,30.86,30.75,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 02:05:00,30.83,30.72,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 02:10:00,30.9,30.77,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 02:15:00,30.96,30.8,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
2016-01-22 02:20:00,30.91,30.78,27.74,27.19,26.64,26.11,25.59,25.08,24.58,0,0,
