date,short position,long position,net position,short pnl,long pnl,short return,long return,accumulate return
2016-02-11 16:55:00,0,0,0,,6.6125,,0.00220416666667,0.00881666666667
2016-02-12 16:55:00,-20,0,-20,,,,,0.00881666666667
2016-02-15 12:55:00,-40,0,-40,,,,,0.00881666666667
2016-02-16 16:55:00,0,0,0,121.435,,0.0404783333333,,0.049295
2016-02-17 16:55:00,0,0,0,,,,,0.049295
2016-02-18 16:55:00,0,0,0,7.98,,0.00266,,0.051955
2016-02-19 16:55:00,0,0,0,,,,,0.051955
2016-02-22 14:25:00,0,0,0,,,,,0.051955
2016-02-23 16:55:00,0,0,0,24.8575,,0.00828583333333,,0.0602408333333
2016-02-24 16:55:00,0,0,0,,,,,0.0602408333333
2016-02-25 16:55:00,-20,0,-20,,,,,0.0602408333333
2016-02-26 16:55:00,0,0,0,33.64,,0.0112133333333,,0.0714541666667
2016-02-29 16:55:00,0,0,0,,,,,0.0714541666667
2016-03-01 16:55:00,-10,0,-10,8.56,,0.00285333333333,,0.0743075
2016-03-02 16:55:00,-20,0,-20,,,,,0.0743075
2016-03-03 16:55:00,-20,0,-20,,,,,0.0743075
2016-03-04 16:55:00,-80,0,-80,,,,,0.0743075
2016-03-07 16:55:00,-320,0,-320,,,,,0.0743075
2016-03-08 16:55:00,0,0,0,296.5275,,0.0988425,,0.17315
2016-03-09 16:55:00,0,0,0,,,,,0.17315
2016-03-10 16:55:00,0,0,0,,,,,0.17315
2016-03-11 16:55:00,0,0,0,,,,,0.17315
2016-03-14 16:55:00,0,0,0,,,,,0.17315
2016-03-15 16:55:00,0,0,0,,,,,0.17315
2016-03-16 16:55:00,0,0,0,,,,,0.17315
2016-03-17 16:55:00,-20,0,-20,,,,,0.17315
2016-03-18 16:55:00,0,0,0,40.315,,0.0134383333333,,0.186588333333
2016-03-21 14:25:00,0,0,0,,,,,0.186588333333
2016-03-22 16:55:00,-20,0,-20,,,,,0.186588333333
2016-03-23 16:55:00,0,0,0,20.6175,,0.0068725,,0.193460833333
2016-03-24 16:55:00,0,0,0,,,,,0.193460833333
2016-03-28 16:55:00,0,0,0,,,,,0.193460833333
2016-03-29 16:55:00,0,0,0,,,,,0.193460833333
2016-03-30 16:55:00,0,0,0,,,,,0.193460833333
2016-03-31 16:55:00,0,0,0,,,,,0.193460833333
2016-04-01 16:55:00,0,0,0,,,,,0.193460833333
2016-04-04 16:55:00,0,0,0,,,,,0.193460833333
2016-04-05 16:55:00,0,0,0,,,,,0.193460833333
2016-04-06 16:55:00,0,0,0,,,,,0.193460833333
2016-04-07 16:55:00,0,0,0,,,,,0.193460833333
2016-04-08 16:55:00,0,0,0,,,,,0.193460833333
2016-04-11 16:55:00,0,0,0,,,,,0.193460833333
2016-04-12 16:55:00,0,0,0,,,,,0.193460833333
2016-04-13 16:55:00,0,0,0,,,,,0.193460833333
2016-04-14 16:55:00,0,0,0,,,,,0.193460833333
2016-04-15 16:55:00,0,0,0,,,,,0.193460833333
2016-04-18 16:55:00,0,0,0,,,,,0.193460833333
2016-04-19 16:55:00,0,0,0,,,,,0.193460833333
2016-04-20 14:25:00,-10,0,-10,,,,,0.193460833333
2016-04-21 16:55:00,-40,0,-40,,,,,0.193460833333
2016-04-22 16:55:00,-40,0,-40,,,,,0.193460833333
2016-04-25 16:55:00,-40,0,-40,,,,,0.193460833333
2016-04-26 16:55:00,-40,0,-40,,,,,0.193460833333
2016-04-27 16:55:00,-80,0,-80,,,,,0.193460833333
2016-04-28 16:55:00,-160,0,-160,,,,,0.193460833333
2016-04-29 16:55:00,-160,0,-160,,,,,0.193460833333
2016-05-02 16:55:00,-160,0,-160,,,,,0.193460833333
2016-05-03 16:55:00,0,0,0,180.4725,,0.0601575,,0.253618333333
2016-05-04 16:55:00,0,0,0,,,,,0.253618333333
2016-05-05 16:55:00,0,0,0,,,,,0.253618333333
2016-05-06 16:55:00,0,0,0,,,,,0.253618333333
2016-05-09 16:55:00,0,0,0,,,,,0.253618333333
