date,short position,long position,net position,short pnl,long pnl,short return,long return
2016-01-05 16:55:00,0,10,10,0.0,0.0,0.0,0.0
2016-01-06 16:55:00,0,40,40,0.0,0.0,0.0,0.0
2016-01-07 16:55:00,0,80,80,0.0,0.0,0.0,0.0
2016-01-08 16:55:00,0,80,80,0.0,0.0,0.0,0.0
2016-01-11 16:55:00,0,320,320,0.0,0.0,0.0,0.0
2016-01-12 16:55:00,0,600,600,0.0,0.0,0.0,0.0
2016-01-13 16:55:00,0,600,600,0.0,0.0,0.0,0.0
2016-01-14 16:55:00,0,600,600,0.0,0.0,0.0,0.0
2016-01-15 16:55:00,0,600,600,0.0,0.0,0.0,0.0
2016-01-18 12:55:00,0,600,600,0.0,0.0,0.0,0.0
2016-01-19 16:55:00,0,600,600,0.0,0.0,0.0,0.0
2016-01-20 16:55:00,0,600,600,0.0,0.0,0.0,0.0
2016-01-21 16:55:00,0,600,600,0.0,0.0,0.0,0.0
2016-01-22 16:55:00,0,0,0,0.0,559.532817,0.0,0.186510939
2016-01-25 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-01-26 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-01-27 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-01-28 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-01-29 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-01 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-02 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-03 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-04 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-05 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-08 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-09 16:55:00,0,10,10,0.0,8.322982314,0.0,0.002774327438
2016-02-10 16:55:00,0,10,10,0.0,24.987952488,0.0,0.008329317496
2016-02-11 16:55:00,0,20,20,0.0,0.0,0.0,0.0
2016-02-12 16:55:00,0,0,0,0.0,16.10983002,0.0,0.00536994334
2016-02-15 12:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-16 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-17 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-18 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-19 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-22 14:25:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-23 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-24 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-25 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-26 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-02-29 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-01 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-02 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-03 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-04 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-07 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-08 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-09 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-10 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-11 16:55:00,-10,0,-10,0.0,0.0,0.0,0.0
2016-03-14 16:55:00,0,0,0,11.590711284,0.0,0.003863570428,0.0
2016-03-15 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-16 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-17 16:55:00,-20,0,-20,0.0,0.0,0.0,0.0
2016-03-18 16:55:00,-40,0,-40,0.0,0.0,0.0,0.0
2016-03-21 14:25:00,0,0,0,48.124560972,0.0,0.016041520324,0.0
2016-03-22 16:55:00,-10,0,-10,0.0,0.0,0.0,0.0
2016-03-23 16:55:00,0,0,0,12.456596901,0.0,0.004152198967,0.0
2016-03-24 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-28 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-29 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-30 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-03-31 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-01 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-04 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-05 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-06 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-07 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-08 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-11 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-12 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-13 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-14 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-15 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-18 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-19 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-04-20 14:25:00,-10,0,-10,0.0,0.0,0.0,0.0
2016-04-21 16:55:00,-30,0,-30,0.0,0.0,0.0,0.0
2016-04-22 16:55:00,-30,0,-30,0.0,0.0,0.0,0.0
2016-04-25 16:55:00,-30,0,-30,0.0,0.0,0.0,0.0
2016-04-26 16:55:00,-30,0,-30,0.0,0.0,0.0,0.0
2016-04-27 16:55:00,-70,0,-70,0.0,0.0,0.0,0.0
2016-04-28 16:55:00,-70,0,-70,0.0,0.0,0.0,0.0
2016-04-29 16:55:00,-150,0,-150,0.0,0.0,0.0,0.0
2016-05-02 16:55:00,-150,0,-150,0.0,0.0,0.0,0.0
2016-05-03 16:55:00,0,0,0,205.446857175,0.0,0.068482285725,0.0
2016-05-04 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-05-05 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-05-06 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-05-09 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-05-10 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-05-11 16:55:00,0,0,0,0.0,0.0,0.0,0.0
2016-05-12 16:55:00,-10,0,-10,0.0,0.0,0.0,0.0
2016-05-13 16:55:00,-10,0,-10,0.0,0.0,0.0,0.0
2016-05-16 16:55:00,-20,0,-20,0.0,0.0,0.0,0.0
2016-05-17 16:55:00,-20,0,-20,0.0,0.0,0.0,0.0
2016-05-18 16:55:00,-40,0,-40,0.0,0.0,0.0,0.0
2016-05-19 16:55:00,-40,0,-40,0.0,0.0,0.0,0.0
2016-05-20 14:25:00,-40,0,-40,0.0,0.0,0.0,0.0
2016-05-23 16:55:00,-40,0,-40,0.0,0.0,0.0,0.0
2016-05-24 16:55:00,-40,0,-40,0.0,0.0,0.0,0.0
2016-05-25 16:55:00,-40,0,-40,0.0,0.0,0.0,0.0
2016-05-26 16:55:00,-80,0,-80,0.0,0.0,0.0,0.0
