Date,high price,low price,target low level 1,target low level 2,target low level 3,target low level 4,target low level 5,target low level 6,target low level 7,order size,accumulated short position,long exit price
2016-01-04 18:00:00,36.93,36.87,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:05:00,36.9,36.87,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:10:00,36.89,36.83,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:15:00,36.91,36.82,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:20:00,36.89,36.81,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:25:00,36.81,36.78,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:30:00,36.87,36.81,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:35:00,36.86,36.82,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:40:00,36.85,36.82,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:45:00,36.87,36.82,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:50:00,36.87,36.85,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 18:55:00,36.88,36.87,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 19:00:00,36.91,36.87,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 19:05:00,36.91,36.9,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 19:10:00,36.91,36.89,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 19:15:00,36.91,36.89,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 19:20:00,36.9,36.88,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 19:25:00,36.9,36.88,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 19:30:00,36.9,36.89,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
2016-01-04 19:35:00,36.91,36.89,36.0351565,35.31445337,34.6081643026,33.9160010165,33.2376809962,32.5729273763,31.9214688288,0,0,
