date,price,order
2016-01-05 13:05:00,36.04,10
2016-01-06 05:00:00,35.31,10
2016-01-06 08:20:00,34.61,20
2016-01-06 14:00:00,33.92,40
2016-01-06 21:00:00,33.24,80
2016-01-07 01:50:00,32.57,160
2016-01-07 10:50:00,34.0585078125,-320
2016-01-08 10:05:00,32.82,10
2016-01-08 12:25:00,33.6405,-10
2016-01-11 23:50:00,30.83,10
2016-01-12 08:15:00,31.60075,-10
2016-01-15 03:55:00,29.84,10
2016-01-15 12:30:00,29.24,10
2016-01-17 18:00:00,28.66,20
2016-01-18 06:50:00,29.8275,-40
2016-01-19 22:50:00,27.59,10
2016-01-20 10:35:00,27.03,10
2016-01-20 12:10:00,26.49,20
2016-01-20 18:00:00,27.5725,-40
