date,price,order
2016-03-10 22:35:00,38.64,-10
2016-03-14 04:50:00,37.674,10
2016-03-16 19:50:00,38.85,-10
2016-03-17 04:40:00,39.63,-10
2016-03-17 19:30:00,40.42,-20
2016-03-21 02:10:00,38.83425,40
2016-04-12 14:10:00,42.16,-10
2016-04-14 02:15:00,41.106,10
2016-04-20 20:45:00,43.74,-10
2016-04-25 14:20:00,42.6465,10
2016-04-26 12:00:00,44.14,-10
2016-04-27 05:40:00,45.02,-10
2016-04-28 13:25:00,45.92,-20
2016-05-03 09:25:00,44.11875,40
2016-05-12 07:40:00,46.77,-10
2016-05-16 09:35:00,47.7,-10
2016-05-17 16:30:00,48.65,-20
2016-05-19 10:05:00,46.7439375,40
2016-05-25 14:35:00,49.64,-10
2016-06-01 05:00:00,48.399,10
2016-06-07 14:25:00,50.39,-10
2016-06-08 15:55:00,51.39,-10
2016-06-10 09:05:00,49.61775,20
