date,px,Pnl
2016-01-12,30.44,0.0
2016-01-13,30.48,0.0
2016-01-14,31.2,0.0
2016-01-15,29.42,0.0
2016-01-18,28.94,0.0
2016-01-19,28.46,0.0
2016-01-20,26.55,-0.1112
2016-01-21,29.53,0.0
2016-01-22,32.19,0.0
2016-01-25,30.34,0.0
2016-01-26,31.45,0.0
2016-01-27,32.3,0.0
2016-01-28,33.22,0.0
2016-01-29,33.62,0.0
2016-02-01,31.62,0.0
2016-02-02,29.88,0.0
2016-02-03,32.28,0.0
2016-02-04,31.72,0.0
2016-02-05,30.89,0.0
2016-02-08,29.69,0.0
2016-02-09,27.94,0.0
2016-02-10,27.45,0.0
2016-02-11,26.21,0.0
2016-02-12,29.44,0.0
2016-02-15,29.76,0.0
2016-02-16,29.04,0.0
2016-02-17,30.66,0.0
2016-02-18,30.66,0.0
2016-02-19,29.72,0.0
2016-02-22,31.43,0.0
2016-02-23,31.37,0.0
2016-02-24,32.22,0.0
2016-02-25,33.08,0.0
2016-02-26,32.84,0.0
2016-02-29,33.9,0.0
2016-03-01,33.89,0.0
2016-03-02,34.73,0.0
2016-03-03,34.69,0.0
2016-03-04,36.33,-0.141333333333
2016-03-07,37.98,0.0
2016-03-08,36.33,0.0
2016-03-09,38.18,0.0
2016-03-10,38.02,0.0
2016-03-11,38.49,0.0
2016-03-14,37.37,0.0
2016-03-15,36.72,0.0
2016-03-16,38.6,0.0
2016-03-17,40.34,0.0
2016-03-18,39.35,-0.155566666667
2016-03-21,39.91,0.0
2016-03-22,41.22,0.0
2016-03-23,39.76,0.0
2016-03-24,39.59,0.0
2016-03-28,39.3,0.0
2016-03-29,38.49,0.0
2016-03-30,38.3,0.0
2016-03-31,38.11,0.0
2016-04-01,36.63,0.0
2016-04-04,35.46,0.0
2016-04-05,36.56,0.0
2016-04-06,37.73,0.0
2016-04-07,37.53,0.0
2016-04-08,39.66,0.0068
